typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20150101","2015","52","2015","120","CMR","Cameroon","M","Import","292","GIB","Gibraltar","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","593",,"593","0","true","false",
"C","A","20150101","2015","52","2015","120","CMR","Cameroon","M","Import","300","GRC","Greece","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","37111736",,"37111736","0","true","false",
"C","A","20150101","2015","52","2015","120","CMR","Cameroon","M","Import","316","GUM","Guam","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","86",,"86","0","true","false",
"C","A","20150101","2015","52","2015","120","CMR","Cameroon","M","Import","320","GTM","Guatemala","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","5304556",,"5304556","0","true","false",
"C","A","20150101","2015","52","2015","120","CMR","Cameroon","M","Import","332","HTI","Haiti","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","102028",,"102028","0","true","false",
"C","A","20150101","2015","52","2015","120","CMR","Cameroon","M","Import","340","HND","Honduras","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","42601",,"42601","0","true","false",
"C","A","20150101","2015","52","2015","120","CMR","Cameroon","M","Import","344","HKG","China, Hong Kong SAR","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","15062646",,"15062646","0","true","false",
"C","A","20150101","2015","52","2015","120","CMR","Cameroon","M","Import","348","HUN","Hungary","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","20449226",,"20449226","0","true","false",
"C","A","20150101","2015","52","2015","120","CMR","Cameroon","M","Import","352","ISL","Iceland","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","63313",,"63313","0","true","false",
"C","A","20150101","2015","52","2015","120","CMR","Cameroon","M","Import","360","IDN","Indonesia","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","28259726",,"28259726","0","true","false",
"C","A","20150101","2015","52","2015","120","CMR","Cameroon","M","Import","364","IRN","Iran","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","1429473",,"1429473","0","true","false",
"C","A","20150101","2015","52","2015","120","CMR","Cameroon","M","Import","372","IRL","Ireland","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","53025659",,"53025659","0","true","false",
"C","A","20150101","2015","52","2015","120","CMR","Cameroon","M","Import","376","ISR","Israel","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","2849138",,"2849138","0","true","false",
