partner,total_balance_2015_2023,pct_years_deficit,pct_years_surplus,classification,total_bilateral_trade
Bonaire,-71.15,11.11111111111111,0.0,mixed,71.15
Tajikistan,12914.831,33.33333333333333,11.11111111111111,mixed,13467.628999999999
Papua New Guinea,19263.063,22.22222222222222,22.22222222222222,mixed,37168.893
Haiti,56740.911000000015,22.22222222222222,22.22222222222222,mixed,1999502.369
Afghanistan,96102.50500000002,66.66666666666666,11.11111111111111,persistent_deficit,297142.275
Heard Island and McDonald Islands,115896.604,0.0,11.11111111111111,mixed,115896.604
Zimbabwe,187254.713,77.77777777777779,22.22222222222222,persistent_deficit,431715.51099999994
Sudan,244179.21099999998,55.55555555555556,44.44444444444444,persistent_deficit,4109943.4529999997
Azerbaijan,246106.02500000002,33.33333333333333,55.55555555555556,persistent_surplus,628972.569
Burundi,320200.89,33.33333333333333,66.66666666666666,persistent_surplus,504590.25
Comoros,405979.26900000003,0.0,88.88888888888889,persistent_surplus,597297.389
Djibouti,407363.413,55.55555555555556,33.33333333333333,persistent_deficit,672620.717
Dominica,414468.26,22.22222222222222,66.66666666666666,persistent_surplus,726727.9940000001
Montenegro,831463.961,11.11111111111111,22.22222222222222,mixed,1073267.335
Uganda,1078486.224,33.33333333333333,66.66666666666666,persistent_surplus,2288846.822
Cabo Verde,1355152.677,0.0,100.0,persistent_surplus,1641591.559
Mozambique,1640516.958,55.55555555555556,44.44444444444444,persistent_deficit,7318342.944
Bahrain,1712254.0569999993,55.55555555555556,44.44444444444444,persistent_deficit,11565864.729
Niger,1996071.549,22.22222222222222,77.77777777777779,persistent_surplus,2190990.285
Nicaragua,3172900.495,33.33333333333333,55.55555555555556,persistent_surplus,3291949.2970000003
Mali,4376158.0309999995,0.0,100.0,persistent_surplus,5405987.829
Dominican Rep.,9415081.274999999,0.0,100.0,persistent_surplus,11829311.837
Sri Lanka,9618454.47,66.66666666666666,33.33333333333333,persistent_deficit,16818937.748
Kuwait,12148877.2,66.66666666666666,33.33333333333333,persistent_deficit,90624158.38
Benin,13081194.940000003,44.44444444444444,55.55555555555556,persistent_surplus,38058173.006
Ethiopia,14401264.608000001,66.66666666666666,33.33333333333333,persistent_deficit,16704020.879999999
Burkina Faso,24256365.909,0.0,100.0,persistent_surplus,28144819.471
Curaçao,31213929.493,44.44444444444444,11.11111111111111,mixed,31761086.507
Malta,44415496.75699999,55.55555555555556,44.44444444444444,persistent_deficit,91114774.66099998
Congo,77389463.10999998,22.22222222222222,77.77777777777779,persistent_surplus,517646512.514
Dem. Rep. of the Congo,101433647.78399998,0.0,100.0,persistent_surplus,102473925.314
Portugal,153253746.195,66.66666666666666,33.33333333333333,persistent_deficit,889947594.5769999
Gabon,154211741.557,22.22222222222222,77.77777777777779,persistent_surplus,671081316.233
Indonesia,208127977.383,11.11111111111111,88.88888888888889,persistent_surplus,864271197.493
Malaysia,263703905.12700003,11.11111111111111,88.88888888888889,persistent_surplus,1433332607.455
Central African Rep.,449164229.02699995,0.0,100.0,persistent_surplus,456169370.955
Vietnam,612540387.141,0.0,100.0,persistent_surplus,1037782761.8429999
Spain,656877844.2559999,22.22222222222222,77.77777777777779,persistent_surplus,3751094755.12
Bangladesh,1130693926.28,0.0,100.0,persistent_surplus,1185254194.532
Chad,1147173436.985,0.0,100.0,persistent_surplus,1237705700.6629999
Italy,1683494813.0340004,0.0,100.0,persistent_surplus,4335483928.634
Netherlands,4157336052.7230005,0.0,100.0,persistent_surplus,7458029195.343
