partner,total_trade_2015,total_trade_2023,abs_change,pct_change,avg_annual_growth_pct,share_2015_pct,share_2023_pct,change_in_share_pp,status
Guyana,0.0,39567.606,39567.606,,,0.0,0.00029829954573351564,0.00029829954573351564,emerging
Trinidad and Tobago,12092.0,39204.086,27112.086000000003,224.21506781343038,15.838826517009252,0.00011984786362728219,0.0002955589742957328,0.00017571111066845064,growing
Suriname,2308.0,18070.615,15762.615000000002,682.9555892547661,29.33531974617032,2.287536133408595e-05,0.00013623407606781302,0.00011335871473372707,growing
Lesotho,4179.0,19607.988,15428.988000000001,369.202871500359,21.316558747960634,4.141946924399704e-05,0.00014782430640732287,0.00010640483716332582,growing
Holy See (Vatican City State),0.0,10355.955,10355.955,,,0.0,7.807337831196384e-05,7.807337831196384e-05,emerging
Aruba,0.0,10227.16,10227.16,,,0.0,7.710239487685917e-05,7.710239487685917e-05,emerging
Cayman Isds,0.0,7209.288,7209.288,,,0.0,5.435070636980376e-05,5.435070636980376e-05,emerging
Eritrea,587.0,7906.9,7319.9,1247.0017035775127,38.41113122569588,5.8179536841891045e-06,5.9609992026314025e-05,5.379203834212492e-05,growing
Gibraltar,593.0,7155.718,6562.718,1106.6978077571669,36.52111149850161,5.877421694589675e-06,5.3946843000740084e-05,4.806942130615041e-05,growing
Nepal,0.0,5013.357,5013.357,,,0.0,3.7795617852137447e-05,3.7795617852137447e-05,emerging
Greenland,0.0,4779.372,4779.372,,,0.0,3.60316086975665e-05,3.60316086975665e-05,emerging
Botswana,0.0,3484.365,3484.365,,,0.0,2.6268571736934533e-05,2.6268571736934533e-05,emerging
Antarctica,204.0,3320.996,3116.996,1527.9392156862746,41.727711035570735,2.021912353619382e-06,2.503693547147691e-05,2.3015023117857525e-05,growing
San Marino,0.0,2043.084,2043.084,,,0.0,1.5402777441107106e-05,1.5402777441107106e-05,emerging
Saint Kitts and Nevis,0.0,651.791,651.791,,,0.0,4.91384187391054e-06,4.91384187391054e-06,emerging
Jamaica,278.0,997.296,719.296,258.73956834532373,17.313342834842494,2.755351148559746e-06,7.518598516216833e-06,4.7632473676570875e-06,growing
Bermuda,0.0,369.724,369.724,,,0.0,2.787343294076936e-06,2.787343294076936e-06,emerging
Cook Isds,0.0,321.648,321.648,,,0.0,2.424899102717861e-06,2.424899102717861e-06,emerging
Kazakhstan,0.0,249.324,249.324,,,0.0,1.8796496290542083e-06,1.8796496290542083e-06,emerging
Saint Lucia,0.0,83.108,83.108,,,0.0,6.265498763514028e-07,6.265498763514028e-07,emerging
Anguilla,0.0,31.151,31.151,,,0.0,2.3484688836480902e-07,2.3484688836480902e-07,emerging
Niue,0.0,0.0,0.0,,,0.0,0.0,0.0,stable
Montserrat,0.0,0.0,0.0,,,0.0,0.0,0.0,stable
Maldives,0.0,0.0,0.0,,,0.0,0.0,0.0,stable
Samoa,0.0,0.0,0.0,,,0.0,0.0,0.0,stable
Uzbekistan,0.0,0.0,0.0,,,0.0,0.0,0.0,stable
Western Sahara,0.0,0.0,0.0,,,0.0,0.0,0.0,stable
Vanuatu,0.0,0.0,0.0,,,0.0,0.0,0.0,stable
Palau,0.0,0.0,0.0,,,0.0,0.0,0.0,stable
Naoero,0.0,0.0,0.0,,,0.0,0.0,0.0,stable
Heard Island and McDonald Islands,0.0,0.0,0.0,,,0.0,0.0,0.0,stable
FS Micronesia,0.0,0.0,0.0,,,0.0,0.0,0.0,stable
Bhutan,0.0,0.0,0.0,,,0.0,0.0,0.0,stable
Fiji,0.0,0.0,0.0,,,0.0,0.0,0.0,stable
Grenada,0.0,0.0,0.0,,,0.0,0.0,0.0,stable
Falkland Isds (Malvinas),0.0,0.0,0.0,,,0.0,0.0,0.0,stable
State of Palestine,0.0,0.0,0.0,,,0.0,0.0,0.0,stable
Solomon Isds,0.0,0.0,0.0,,,0.0,0.0,0.0,stable
South Sudan,0.0,0.0,0.0,,,0.0,0.0,0.0,stable
Saint Pierre and Miquelon,0.0,0.0,0.0,,,0.0,0.0,0.0,stable
N. Mariana Isds,0.0,0.0,0.0,,,0.0,0.0,0.0,stable
"Other Europe, nes",0.0,0.0,0.0,,,0.0,0.0,0.0,stable
"Oceania, nes",0.0,0.0,0.0,,,0.0,0.0,0.0,stable
Pitcairn,0.0,0.0,0.0,,,0.0,0.0,0.0,stable
Kiribati,0.0,0.0,0.0,,,0.0,0.0,0.0,stable
Cocos Isds,0.0,0.0,0.0,,,0.0,0.0,0.0,stable
Br. Indian Ocean Terr.,0.0,0.0,0.0,,,0.0,0.0,0.0,stable
Bouvet Island,0.0,0.0,0.0,,,0.0,0.0,0.0,stable
Bonaire,0.0,0.0,0.0,,,0.0,0.0,0.0,stable
Br. Virgin Isds,0.0,0.0,0.0,,,0.0,0.0,0.0,stable
Brunei Darussalam,84.0,0.0,-84.0,-100.0,-100.0,8.325521456079809e-07,0.0,-8.325521456079809e-07,declining
Guam,86.0,0.0,-86.0,-100.0,-100.0,8.523748157415043e-07,0.0,-8.523748157415043e-07,declining
